OID_;Join_Count;TARGET_FID;JOIN_FID;Site;Lat;Long;Source;Elevation;D_Treeline;Original_D_Temp;Min_DT;Max_DT;Mean_DT;mat_tstat;mat_sig;mat_sig_val;mat_npts;beyer_dt;chelsa_dt;ecoclimate_dt;paleopgem_dt;worldclim30s_dt;worldclim25m_dt;ggc_dt;MapName;Level_01;Level_02;Level_03;Countries;GMTED2010
121;0;121;-1;unknown;41;13;Bartlein et al. (2011);;;;-9,4316;-3,7684;-6,6;-2,3308;-1;-6,6;1;6,6;2,9999996;0,9214045;2,1830002;6,6;6,6;1,9269997;;;;;;0
122;0;122;-1;unknown;41;15;Bartlein et al. (2011);;;;-7,7684;-3,4316;-5,6;-2,5825;-1;-5,6;1;0,5409618;1,9708334;-0,2548927;1,258;-0,9;-0,4999999;0,9270006;;;;;;392
123;0;123;-1;unknown;39;21;Bartlein et al. (2011);;;;-10,1408;-6,0592;-8,1;-3,969;-1;-8,1;1;3,1021658;5,0291668;2,6469799;3,7000004;8,1;2,6;3,4269997;;;;;;0
124;0;124;-1;unknown;41;21;Bartlein et al. (2011);;;;-7,3939;-3,0061;-5,2;-2,3702;-1;-5,2;1;0,2308332;1,6749994;-0,5719455;1,2079999;-0,6000002;-0,6000002;0,5270001;;;;;;846
125;1;125;51;unknown;39;23;Bartlein et al. (2011);;;;-6,9347;-3,4653;-5,2;-2,9976;-1;-5,2;1;1,1084206;2,1041662;-0,4133976;0,9579994;5,2;-0,3;0,5269997;Southeast European Highlands;Eurasia;Europe;Southeast European Highlands;Albania, Bulgaria, Bosnia and Herzegovina, Greece, Croatia, Hungary, Italy, Macedonia, Montenegro, Romania, Serbia, Slovenia, Turkey, Kosovo;280
126;0;126;-1;unknown;41;25;Bartlein et al. (2011);;;;-7,549;-2,651;-5,1;-2,0825;-1;-5,1;1;0,7953363;1,8333336;-0,8358263;1,0919996;-0,9999999;-0,9;0,4270006;;;;;;39
127;1;127;174;unknown;37;29;Bartlein et al. (2011);;;;-3,0367;0,6367;-1,2;-0,6533;0;0;1;-3,0192907;-1,3874996;-3,7308252;-3,3249996;-3,3999999;-3,6000002;-3,4729994;Anatolian / Armenian Highlands;Eurasia;Western Asia;Anatolian / Armenian Highlands;Armenia, Azerbaijan, Georgia, Greece, Iran, Iraq, Turkey;721
128;1;128;174;unknown;39;31;Bartlein et al. (2011);;;;-5,3306;-2,2694;-3,8;-2,4827;-1;-3,8;1;-0,3800599;0,5625003;-1,331506;-1,0410006;-1,3999998;-1,6000001;-0,8729999;Anatolian / Armenian Highlands;Eurasia;Western Asia;Anatolian / Armenian Highlands;Armenia, Azerbaijan, Georgia, Greece, Iran, Iraq, Turkey;1092
129;0;129;-1;unknown;47;31;Bartlein et al. (2011);;;;-10,1022;-7,6312;-8,8667;-7,1768;-1;-8,8667;3;2,7914503;4,4250329;-0,8667938;4,3416999;-0,8332998;-0,9333002;4,1937001;;;;;;0
130;0;130;-1;unknown;35;35;Bartlein et al. (2011);;;;-12,8602;-9,3398;-11,1;-6,3061;-1;-11,1;1;11,1;7,7291656;6,9755274;6,0829998;11,1;11,1;6,4269997;;;;;;0
131;0;131;-1;unknown;47;39;Bartlein et al. (2011);;;;-15,1985;-11,3015;-13,25;-6,8002;-1;-13,25;2;7,4515457;9,3041673;4,6532784;7,7750001;13,25;13,25;8,5770001;;;;;;0
132;1;132;174;unknown;41;41;Bartlein et al. (2011);;;;-9,5978;-7,5022;-8,55;-8,1596;-1;-8,55;2;4,8147953;2,5333336;3,6363605;0,8;5,35;3,7499998;3,8770001;Anatolian / Armenian Highlands;Eurasia;Western Asia;Anatolian / Armenian Highlands;Armenia, Azerbaijan, Georgia, Greece, Iran, Iraq, Turkey;945
133;0;133;-1;unknown;43;41;Bartlein et al. (2011);;;;-9,2682;-7,4818;-8,375;-9,376;-1;-8,375;4;4,8205938;3,6124992;3,3538189;1,2330003;3,4749999;3,5749998;3,7020006;;;;;;6
134;1;134;68;unknown;41;45;Bartlein et al. (2011);;;;-12,7784;-9,4216;-11,1;-6,6133;-1;-11,1;2;7,1519433;4,6833335;7,1089724;2,1909996;7,6;7,0000001;6,4270001;Caucasus Mountains;Eurasia;Western Asia;Caucasus Mountains;Armenia, Azerbaijan, Georgia, Russia, Turkey, Caspian Sea;1398
135;1;135;38;unknown;35;47;Bartlein et al. (2011);;;;-8,0755;-5,5245;-6,8;-5,3312;-1;-6,8;1;1,7225283;0,8458326;0,8690327;-0,3830006;0,3;0,4999998;2,1270006;Iranian Plateau;Eurasia;Western Asia;Iranian Plateau;Afghanistan, Azerbaijan, Iran, Iraq, Pakistan, Turkmenistan, Turkey, Caspian Sea;1660
136;1;136;12;unknown;39;73;Bartlein et al. (2011);;;;-8,5153;-4,4847;-6,5;-3,2253;-1;-6,5;1;0,8542047;-0,666667;1,6685123;-2,2250004;0,3000002;1,3000002;1,8270006;Pamir Mountains;Eurasia;Central Asia;Pamir Mountains;Afghanistan, China, Kyrgyzstan, Pakistan, Tajikistan;5161
137;1;137;30;unknown;41;75;Bartlein et al. (2011);;;;1,7589;2,8411;2,3;4,2502;1;2,3;2;-7,019698;-8,8500002;-7,0407198;-10,6830004;-7,3999999;-7,3;-6,9729999;Tian Shan;Eurasia;Central Asia;Tian Shan;Afghanistan, China, Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan;3054
138;1;138;18;Chabyer (ZK91-2);31,3;84,1;Farrera et al. (1999);4421;;-6;-6;-6;-6;;;;;1,2340527;2,3208332;0,9048061;0,6999998;0,5;0,8000002;1,3270001;Tibetan Plateau;Eurasia;Central Asia;Tibetan Plateau;China, India, Myanmar, Pakistan;4548
139;0;139;-1;unknown;37;101;Bartlein et al. (2011);;;;-6,2806;-3,2194;-4,75;-3,1034;-1;-4,75;1;-0,1356359;0,3583336;0,2717962;-2,0499997;0,25;0,25;0,0770001;;;;;;3100
140;0;140;-1;unknown;47;111;Bartlein et al. (2011);;;;-9,1771;-6,7229;-7,95;-6,4784;-1;-7,95;2;1,4842898;1,825;1,4692294;-0,5750006;1,45;1,3500001;3,2770001;;;;;;1272
141;0;141;-1;Suzhou (59);31,3;120,6;Farrera et al. (1999);2;;-7,5;-7,5;-7,5;-7,5;;;;;2,7973013;4,3041658;2,3585615;0,8659992;2,3000002;2,3000002;2,8269997;;;;;;8
142;0;142;-1;Wuhu (Zk13);31,3;118,3;Farrera et al. (1999);9,6;;-7 (-9 max);-7;-9;-8;;;;;3,6671782;4,0541668;3,4259968;1,3999996;3,3000002;3,1999998;3,3269997;;;;;;1
143;0;143;-1;unknown;35;135;Bartlein et al. (2011);;;;-11,2362;-8,9638;-10,1;-8,8889;-1;-10,1;2;4,4130598;6,7833334;2,6425944;2,4080001;3,4000002;2,9000002;5,4269997;;;;;;88
144;1;144;121;unknown;65;-147;Bartlein et al. (2011);;;;-4,5283;-2,2559;-3,3921;-2,9853;-1;-3,3921;2;1,5423123;7,433766;-3,9285906;0,6921002;-2,9079002;-3,4079002;-1,2808999;Alaska-Yukon Ranges;North America;American Cordillera (North America);Alaska-Yukon Ranges;Canada, Russia, United States;206
145;0;145;-1;unknown;49;27;Bartlein et al. (2011);;;;-12,4278;-9,5056;-10,9667;-7,5057;-1;-10,9667;3;4,1230835;2,883366;0,2855791;4,6757001;0,1666998;0,2667002;6,2937001;;;;;;310
146;0;146;-1;unknown;57;37;Bartlein et al. (2011);;;;-13,8174;-10,6826;-12,25;-7,8154;-1;-12,25;2;1,0344181;-1,9041672;-4,1696587;2,967;-3,9500008;-3,8500004;7,5770001;;;;;;139
147;0;147;-1;unknown;57;39;Bartlein et al. (2011);;;;-13,8497;-10,1503;-12;-6,4877;-1;-12;2;1,4674168;-1,6374998;-3,6296902;3,717;-3,1999998;-3,3000002;7,3270001;;;;;;127
148;0;148;-1;unknown;59;39;Bartlein et al. (2011);;;;-11,7298;-7,6702;-9,7;-4,7787;-1;-9,7;2;-2,9530437;-3,7750004;-8,0708759;-0,5080002;-7,8;-7,8;5,0270001;;;;;;162
149;0;149;-1;unknown;57;41;Bartlein et al. (2011);;;;-9,0408;-4,9592;-7;-3,43;-1;-7;1;-3,4260721;-6,1833324;-7,6994648;-0,4749999;-7,6999998;-7,6999998;2,3270001;;;;;;110
150;0;150;-1;unknown;55;57;Bartlein et al. (2011);;;;-5,2196;-2,9304;-4,075;-3,5603;-1;-4,075;4;-3,8525246;-3,8791669;-4,5827663;-1,484;-4,425;-4,5250004;-0,5979999;;;;;;183
151;0;151;-1;unknown;57;63;Bartlein et al. (2011);;;;-8,2298;-5,0702;-6,65;-4,2093;-1;-6,65;2;-2,6505018;-2,2083336;-3,1904083;1,1579999;-3,0499998;-3,0499998;1,9770001;;;;;;122
